;
;
;
;
;
;
;
;Symbolname     Code1  Code2 PartNr        Value             Geometry             Description
R                   1  100   ""            "0R"              K0402                "RESISTOR 0 OHM"
R                   1  100   ""            "1R0"             K0402                "RESISTOR 1.0 OHM"
R                   1  100   ""            "1R2"             K0402                "RESISTOR 1.2 OHM"
R                   1  100   ""            "1R5"             K0402                "RESISTOR 1.5 OHM"
R                   1  100   ""            "1R8"             K0402                "RESISTOR 1.8 OHM"
R                   1  100   ""            "2R2"             K0402                "RESISTOR 2.2 OHM"
R                   1  100   ""            "2R7"             K0402                "RESISTOR 2.7 OHM"
R                   1  100   ""            "3R3"             K0402                "RESISTOR 3.3 OHM"
R                   1  100   ""            "3R9"             K0402                "RESISTOR 3.9 OHM"
R                   1  100   ""            "4R7"             K0402                "RESISTOR 4.7 OHM"
R                   1  100   ""            "5R6"             K0402                "RESISTOR 5.6 OHM"
R                   1  100   ""            "6R8"             K0402                "RESISTOR 6.8 OHM"
R                   1  100   ""            "8R2"             K0402                "RESISTOR 8.2 OHM"
R                   1  100   ""            "10R"             K0402                "RESISTOR 10 OHM"
R                   1  100   ""            "12R"             K0402                "RESISTOR 12 OHM"
R                   1  100   ""            "15R"             K0402                "RESISTOR 15 OHM"
R                   1  100   ""            "18R"             K0402                "RESISTOR 18 OHM"
R                   1  100   ""            "22R"             K0402                "RESISTOR 22 OHM"
R                   1  100   ""            "27R"             K0402                "RESISTOR 27 OHM"
R                   1  100   ""            "33R"             K0402                "RESISTOR 33 OHM"
R                   1  100   ""            "39R"             K0402                "RESISTOR 39 OHM"
R                   1  100   ""            "47R"             K0402                "RESISTOR 47 OHM"
R                   1  100   ""            "56R"             K0402                "RESISTOR 56 OHM"
R                   1  100   ""            "68R"             K0402                "RESISTOR 68 OHM"
R                   1  100   ""            "82R"             K0402                "RESISTOR 82 OHM"
R                   1  100   ""            "100R"            K0402                "RESISTOR 100 OHM"
R                   1  100   ""            "120R"            K0402                "RESISTOR 120 OHM"
R                   1  100   ""            "150R"            K0402                "RESISTOR 150 OHM"
R                   1  100   ""            "180R"            K0402                "RESISTOR 180 OHM"
R                   1  100   ""            "220R"            K0402                "RESISTOR 220 OHM"
R                   1  100   ""            "270R"            K0402                "RESISTOR 270 OHM"
R                   1  100   ""            "330R"            K0402                "RESISTOR 330 OHM"
R                   1  100   ""            "390R"            K0402                "RESISTOR 390 OHM"
R                   1  100   ""            "470R"            K0402                "RESISTOR 470 OHM"
R                   1  100   ""            "560R"            K0402                "RESISTOR 560 OHM"
R                   1  100   ""            "680R"            K0402                "RESISTOR 680 OHM"
R                   1  100   ""            "820R"            K0402                "RESISTOR 820 OHM"
R                   1  100   ""            "1K0"             K0402                "RESISTOR 1.0K OHM"
R                   1  100   ""            "1K2"             K0402                "RESISTOR 1.2K OHM"
R                   1  100   ""            "1K5"             K0402                "RESISTOR 1.5K OHM"
R                   1  100   ""            "1K8"             K0402                "RESISTOR 1.8K OHM"
R                   1  100   ""            "2K2"             K0402                "RESISTOR 2.2K OHM"
R                   1  100   ""            "2K7"             K0402                "RESISTOR 2.7K OHM"
R                   1  100   ""            "3K3"             K0402                "RESISTOR 3.3K OHM"
R                   1  100   ""            "3K9"             K0402                "RESISTOR 3.9K OHM"
R                   1  100   ""            "4K7"             K0402                "RESISTOR 4.7K OHM"
R                   1  100   ""            "5K6"             K0402                "RESISTOR 5.6K OHM"
R                   1  100   ""            "6K8"             K0402                "RESISTOR 6.8K OHM"
R                   1  100   ""            "8K2"             K0402                "RESISTOR 8.2K OHM"
R                   1  100   ""            "10K"             K0402                "RESISTOR 10K OHM"
R                   1  100   ""            "12K"             K0402                "RESISTOR 12K OHM"
R                   1  100   ""            "15K"             K0402                "RESISTOR 15K OHM"
R                   1  100   ""            "18K"             K0402                "RESISTOR 18K OHM"
R                   1  100   ""            "22K"             K0402                "RESISTOR 22K OHM"
R                   1  100   ""            "27K"             K0402                "RESISTOR 27K OHM"
R                   1  100   ""            "33K"             K0402                "RESISTOR 33K OHM"
R                   1  100   ""            "39K"             K0402                "RESISTOR 39K OHM"
R                   1  100   ""            "47K"             K0402                "RESISTOR 47K OHM"
R                   1  100   ""            "56K"             K0402                "RESISTOR 56K OHM"
R                   1  100   ""            "68K"             K0402                "RESISTOR 68K OHM"
R                   1  100   ""            "82K"             K0402                "RESISTOR 82K OHM"
R                   1  100   ""            "100K"            K0402                "RESISTOR 100K OHM"
R                   1  100   ""            "120K"            K0402                "RESISTOR 120K OHM"
R                   1  100   ""            "150K"            K0402                "RESISTOR 150K OHM"
R                   1  100   ""            "180K"            K0402                "RESISTOR 180K OHM"
R                   1  100   ""            "220K"            K0402                "RESISTOR 220K OHM"
R                   1  100   ""            "270K"            K0402                "RESISTOR 270K OHM"
R                   1  100   ""            "330K"            K0402                "RESISTOR 330K OHM"
R                   1  100   ""            "390K"            K0402                "RESISTOR 390K OHM"
R                   1  100   ""            "470K"            K0402                "RESISTOR 470K OHM"
R                   1  100   ""            "560K"            K0402                "RESISTOR 560K OHM"
R                   1  100   ""            "680K"            K0402                "RESISTOR 680K OHM"
R                   1  100   ""            "820K"            K0402                "RESISTOR 820K OHM"
R                   1  100   ""            "1M0"             K0402                "RESISTOR 1.0M OHM"
R                   1  100   ""            "1M2"             K0402                "RESISTOR 1.2M OHM"
R                   1  100   ""            "1M5"             K0402                "RESISTOR 1.5M OHM"
R                   1  100   ""            "1M8"             K0402                "RESISTOR 1.8M OHM"
R                   1  100   ""            "2M2"             K0402                "RESISTOR 2.2M OHM"
R                   1  100   ""            "2M7"             K0402                "RESISTOR 2.7M OHM"
R                   1  100   ""            "3M3"             K0402                "RESISTOR 3.3M OHM"
R                   1  100   ""            "3M9"             K0402                "RESISTOR 3.9M OHM"
R                   1  100   ""            "4M7"             K0402                "RESISTOR 4.7M OHM"
R                   1  100   ""            "5M6"             K0402                "RESISTOR 5.6M OHM"
R                   1  100   ""            "6M8"             K0402                "RESISTOR 6.8M OHM"
