Bill Of Materials (Listed per component)

Design C:\pcb_elegance\PcMotherBoard

April 18, 2012 19:32:11

+---+---------+-------------+-----------------+-------+
|pos|Reference|Value        |Geometry         |Part nr|
+---+---------+-------------+-----------------+-------+
|1  |BT100    |BATTERY      |batt_2032        |       |
|2  |C100     |22p          |K0603            |       |
|3  |C101     |22p          |K0603            |       |
|4  |C102     |100n         |K0603            |       |
|5  |C200     |33u          |ELCO_SMD60x32    |       |
|6  |C201     |10u          |ELCO_SMD35x28    |       |
|7  |C202     |100n         |K0603            |       |
|8  |C203     |100n         |K0603            |       |
|9  |C204     |100n         |K0603            |       |
|10 |C205     |100n         |K0603            |       |
|11 |C206     |100n         |K0603            |       |
|12 |C207     |100n         |K0603            |       |
|13 |C208     |100n         |K0603            |       |
|14 |C209     |100n         |K0603            |       |
|15 |C210     |100n         |K0603            |       |
|16 |C211     |10p          |K0603            |       |
|17 |C212     |10p          |K0603            |       |
|18 |C300     |100n         |K0603            |       |
|19 |C301     |100n         |K0603            |       |
|20 |C302     |100n         |K0603            |       |
|21 |C303     |100n         |K0603            |       |
|22 |C304     |100n         |K0603            |       |
|23 |C305     |100n         |K0603            |       |
|24 |C307     |100n         |K0603            |       |
|25 |C308     |100n         |K0603            |       |
|26 |C600     |100p         |K0603            |       |
|27 |C601     |100p         |K0603            |       |
|28 |C602     |100p         |K0603            |       |
|29 |C603     |100p         |K0603            |       |
|30 |C604     |100p         |K0603            |       |
|31 |C605     |100p         |K0603            |       |
|32 |C606     |100p         |K0603            |       |
|33 |C607     |100p         |K0603            |       |
|34 |C608     |100p         |K0603            |       |
|35 |C609     |100p         |K0603            |       |
|36 |C610     |100p         |K0603            |       |
|37 |C611     |100p         |K0603            |       |
|38 |C612     |100p         |K0603            |       |
|39 |C613     |100p         |K0603            |       |
|40 |C614     |100p         |K0603            |       |
|41 |C615     |100p         |K0603            |       |
|42 |C616     |180p         |K0603            |       |
|43 |C617     |180p         |K0603            |       |
|44 |C618     |180p         |K0603            |       |
|45 |C619     |180p         |K0603            |       |
|46 |C620     |180p         |K0603            |       |
|47 |C621     |180p         |K0603            |       |
|48 |C622     |180p         |K0603            |       |
|49 |C623     |180p         |K0603            |       |
|50 |C624     |180p         |K0603            |       |
|51 |C625     |180p         |K0603            |       |
|52 |C626     |180p         |K0603            |       |
|53 |C627     |180p         |K0603            |       |
|54 |C628     |180p         |K0603            |       |
|55 |C629     |180p         |K0603            |       |
|56 |C630     |180p         |K0603            |       |
|57 |C631     |180p         |K0603            |       |
|58 |C632     |180p         |K0603            |       |
|59 |C633     |470p         |K0603            |       |
|60 |C634     |470p         |K0603            |       |
|61 |C635     |470p         |K0603            |       |
|62 |C636     |47p          |K0603            |       |
|63 |C637     |47p          |K0603            |       |
|64 |C638     |47p          |K0603            |       |
|65 |C639     |47p          |K0603            |       |
|66 |C640     |100n         |K0603            |       |
|67 |C641     |47u          |ELCO_SMD60x32    |       |
|68 |C642     |100n         |K0603            |       |
|69 |C643     |47p          |K0603            |       |
|70 |C644     |47p          |K0603            |       |
|71 |C645     |47p          |K0603            |       |
|72 |C646     |47p          |K0603            |       |
|73 |C647     |100n         |K0603            |       |
|74 |C648     |47u          |ELCO_SMD60x32    |       |
|75 |C649     |100n         |K0603            |       |
|76 |C650     |100n         |K0603            |       |
|77 |C900     |10u          |ELCO_SMD35x28    |       |
|78 |C901     |10u          |ELCO_SMD35x28    |       |
|79 |C902     |10u          |ELCO_SMD35x28    |       |
|80 |C903     |10u          |ELCO_SMD35x28    |       |
|81 |C904     |10u          |ELCO_SMD35x28    |       |
|82 |C905     |10u          |ELCO_SMD35x28    |       |
|83 |C906     |10u          |ELCO_SMD35x28    |       |
|84 |C907     |10u          |ELCO_SMD35x28    |       |
|85 |C908     |10u          |ELCO_SMD35x28    |       |
|86 |C909     |10u          |ELCO_SMD35x28    |       |
|87 |C910     |100n         |K0603            |       |
|88 |C911     |100n         |K0603            |       |
|89 |C921     |100n         |K0603            |       |
|90 |C922     |100n         |K0603            |       |
|91 |C923     |100n         |K0603            |       |
|92 |C924     |100n         |K0603            |       |
|93 |C938     |100n         |K0603            |       |
|94 |C940     |100n         |K0603            |       |
|95 |C941     |100n         |K0603            |       |
|96 |C942     |100n         |K0603            |       |
|97 |C943     |100n         |K0603            |       |
|98 |C945     |100n         |K0603            |       |
|99 |C946     |100n         |K0603            |       |
|100|C947     |100n         |K0603            |       |
|101|C948     |100n         |K0603            |       |
|102|C949     |100n         |K0603            |       |
|103|C950     |100n         |K0603            |       |
|104|C951     |100n         |K0603            |       |
|105|C952     |100n         |K0603            |       |
|106|C953     |100n         |K0603            |       |
|107|C954     |100n         |K0603            |       |
|108|C955     |100n         |K0603            |       |
|109|C956     |100n         |K0603            |       |
|110|C957     |100n         |K0603            |       |
|111|C958     |100n         |K0603            |       |
|112|C960     |100n         |K0603            |       |
|113|C962     |100n         |K0603            |       |
|114|C963     |100n         |K0603            |       |
|115|C964     |100n         |K0603            |       |
|116|C965     |100n         |K0603            |       |
|117|C966     |100n         |K0603            |       |
|118|C967     |100n         |K0603            |       |
|119|C968     |100n         |K0603            |       |
|120|C969     |100n         |K0603            |       |
|121|C970     |100n         |K0603            |       |
|122|C971     |100n         |K0603            |       |
|123|C995     |10n          |K0603            |       |
|124|C996     |1u           |K1206            |       |
|125|C997     |10n          |K0603            |       |
|126|C998     |1u           |K1206            |       |
|127|C999     |10n          |K0603            |       |
|128|C1000    |1u           |K1206            |       |
|129|C1001    |10n          |K0603            |       |
|130|C1002    |1u           |K1206            |       |
|131|C1003    |10n          |K0603            |       |
|132|C1004    |1u           |K1206            |       |
|133|C1005    |10n          |K0603            |       |
|134|C1006    |1u           |K1206            |       |
|135|C1007    |10n          |K0603            |       |
