pos,Reference,Value,Geometry,Part nr,
1,C1,2u2,CAPACITOR_TH_3a,,
2,C2,33P,CAPACITOR_TH_1,,
3,C3,10P,CAPACITOR_TH_2,,
4,C4,100u/6V3,elco1_rad6mm,,
5,C5,100u/6V3,elco1_rad6mm,,
6,C6,150p,CAPACITOR_TH_3,,
7,C7,150p,CAPACITOR_TH_3,,
8,C8,1u,capacitor_th_3a,,
9,C9,220N,CAPACITOR_TH_3,,
10,C10,100u/25V,elco1_rad6mm,,
11,C11,220N,CAPACITOR_TH_3,,
12,C12,100u/25V,elco1_rad6mm,,
13,C13,2u2,CAPACITOR_TH_3a,,
14,C14,2u2,CAPACITOR_TH_3a,,
15,C15,100n,CAPACITOR_TH_2,,
16,C16,100n,CAPACITOR_TH_2,,
17,D1,LED,led,,
18,D2,LED,led,,
19,D3,1n4148,DIODE_TH_4,,
20,D4,1n4148,DIODE_TH_4,,
21,IC1,OP77,DIP8,,
22,J1,CON1,POINT_1_1MM,,
23,J2,CON1,POINT_1_1MM,,
24,J3,CON1,POINT_1_1MM,,
25,J4,CON1,POINT_1_1MM,,
26,J5,CON1,POINT_1_1MM,,
27,J6,CON1,POINT_1_1MM,,
28,J7,CON1,POINT_1_1MM,,
29,M1,MOUTINGHOLE,MOUNTINGHOLE3MM,,
30,M2,MOUTINGHOLE,MOUNTINGHOLE3MM,,
31,M3,MOUTINGHOLE,MOUNTINGHOLE3MM,,
32,M4,MOUTINGHOLE,MOUNTINGHOLE3MM,,
33,P1,10k,potm3,,
34,P2,100k,potm3,,
35,R1,47k5,RESISTOR_TH_4,,
36,R2,470R,RESISTOR_TH_4,,
37,R3,1k00,RESISTOR_TH_4,,
38,R4,5K62,RESISTOR_TH_4,,
39,R5,806R,RESISTOR_TH_4,,
40,R6,806R,RESISTOR_TH_4,,
41,R7,80R6,RESISTOR_TH_4,,
42,R8,80R6,RESISTOR_TH_4,,
43,R9,806R,RESISTOR_TH_4,,
44,R10,806R,RESISTOR_TH_4,,
45,R11,80R6,RESISTOR_TH_4,,
46,R12,80R6,RESISTOR_TH_4,,
47,R13,221R,RESISTOR_TH_4,,
48,R14,221R,RESISTOR_TH_4,,
49,R15,2K7,RESISTOR_TH_4,,
50,R16,820R,RESISTOR_TH_4,,
51,R17,249R,RESISTOR_TH_4,,
52,R18,249R,RESISTOR_TH_4,,
53,R19,10k0,RESISTOR_TH_4,,
54,R20,10k0,RESISTOR_TH_4,,
55,R21,390R,RESISTOR_TH_4,,
56,R22,390R,RESISTOR_TH_4,,
57,R23,10k0,RESISTOR_TH_4,,
58,R24,10k0,RESISTOR_TH_4,,
59,R25,12K,RESISTOR_TH_4,,
60,R26,475k,RESISTOR_TH_4,,
61,R27,475k,RESISTOR_TH_4,,
62,R28,27k,RESISTOR_TH_4,,
63,R29,3k9,RESISTOR_TH_4,,
64,R30,100k,RESISTOR_TH_4,,
65,R31,392k,RESISTOR_TH_4,,
66,R32,392k,RESISTOR_TH_4,,
67,T1,MAT02,DIP8,,
68,T2,MAT03,DIP8,,
69,T3,BC560C,TO92_TOR_BCE,,
70,T4,BC550C,TO92_TOR_BCE,,
71,T5,BF256C,TO92_FET_GDS,,
72,T6,BC560C,TO92_TOR_BCE,,
73,T7,BC550C,TO92_TOR_BCE,,
74,T8,BC550C,TO92_TOR_BCE,,
75,T9,BC560C,TO92_TOR_BCE,,
76,T10,BC337/40,TO92_TOR_BCE,,
77,T11,BC327/40,TO92_TOR_BCE,,
78,T12,BC550C,TO92_TOR_BCE,,
