;    Jazykový soubor pro češtinu kódovaný v UTF-8
;
0    "Vytvořit soubor projektu Gerbv"
1    "Zpráva !"
2    "Zadní komponenty"
3    "Vrstva %i ( zadni )"
4    "Vrstva %i\t\tZadní"
5    "Vrstva %i\tZadní"
6    "( zadní )"
7    "Zadní %d"
8    "Zadní vrstva %d"
9    "Přední komponenty"
10   "Vrstva %i ( predni )"
11   "Vrstva %i\t\tPřední"
12   "Vrstva %i\tPřední"
13   "( přední )"
14   "Přední %d"
15   "Přední vrstva %d"
16   "Hranice udržování obrysu desky"
17   "Vrstva %i ( napájecí plocha : %s )"
18   "Vrstva %i\t\tVnitřní\tNapájecí plocha : %s"
19   "Vrstva %i\tNapájecí plocha : %s"
20   "Vnitřní %i\tNapájecí plocha : %s"
21   "Vnitřní %i"
22   "Napájecí plocha ( %s ) vrstva %i"
23   "Vnitřní vrstva %i ( napájecí plocha : %s )"
24   "Chyba !"
25   "Vrstva %i"
26   "( Vnitřní vrstva %i )"
27   "Vnitřní vrstva %i"
28   "Predni potisk"
29   "Zadni potisk"
30   "Predni potisk reference"
31   "Zadni potisk reference"
32   "Predni potisk hodnot"
33   "Zadni potisk hodnot"
34   "Přední obrys umístění"
35   "Zadní obrys umístění"
36   "Barvy"
37   "Pravidla rozlozeni"
38   "Pravidla rozložení"
39   "Pravidla site"
40   "Pravidla sítě"
41   "Průchodky"
42   "Pruchodky"
43   "Obrys desky"
44   "Přední hranice udržování"
45   "Zadní hranice udržování"
46   "Reference komponent"
47   "Hodnoty komponent"
48   "Predni obrys komponent
49   "Zadni obrys komponent"
50   "Obrys komponent\tPřední"
51   "Obrys komponent\tZadní"
52   "Predni pajeci maska"
53   "Zadni pajeci maska"
54   "Predni pajeci pasta"
55   "Zadni pajeci pasta"
56   "Pájecí maska\tPřední"
57   "Pájecí maska\tZadní"
58   "Pájecí pasta\tPřední"
59   "Pájecí pasta\tZadní"
60   "Vnitřní hranice udržování"
61   "Prokovené vrtání"
62   "Neprokovené vrtání"
63   "Vrtání průchodky"
64   "Přední piny komponent"
65   "Zadní piny komponent"
66   "Vnitřní piny komponent"
67   "Piny komponent sítě"
68   "Piny komponent sítě napájecí plochy"
69   "Průvodce ( připojení )"
70   "Mřížka"
71   "Vyměnit bránu s piny"
72   "Vyměnit piny"
73   "Pozadí"
74   "Mezery"
75   "Chyby pravidla rozložení"
76   "Informační okno myši"
77   "Pravítko"
78   "Křížové vlasy"
79   "Nepřipojené zadní piny"
80   "Nepřipojené přední piny"
81   "Nepřipojené vnitřní piny"
82   "Potisk hodnot komponent"
83   "Potisk reference komponent"
84   "Pin komponenty\r\n\f\r\nreference : %s\r\nnázev pinu : %s\r\npozice x,y : %s\r\nmezera : %s\r\nvrstva : %s%s%s"
85   "Trasa\r\n\f\r\npozice x,y : %s\r\nšířka trasy : %s\r\nmezera : %s\r\nvrstva : %s\r\n%s%s"
86   "Průchodka\r\n\f\r\npozice x,y : %s\r\nprůměr : %s\r\nvrtání : %s\r\nmezera : %s\r\n%s%s"
87   "Prokovené vrtání\r\n\f\r\npozice x,y : %s\r\nprůměr : %s\r\nmezera : %s\r\n%s%s"
88   "Neprokovené vrtání\r\n\f\r\npozice x,y : %s\r\nprůměr : %s\r\nmezera : %s"
